name,pos,pos_rank,proj,vor,vor_rank,adp,rnd,edge
Jahmyr Gibbs,RB,1,366.0,185.0,1,1.3,1,0.0
Bijan Robinson,RB,2,353.0,173.0,2,2.4,1,0.0
Christian McCaffrey,RB,3,342.0,162.0,3,7.7,1,5.0
Puka Nacua,WR,1,354.0,156.0,4,5.3,1,1.0
Ja'Marr Chase,WR,2,337.0,140.0,5,4.3,1,-1.0
Jonathan Taylor,RB,4,316.0,136.0,6,6.2,1,0.0
Jaxon Smith-Njigba,WR,3,327.0,129.0,7,6.3,1,-1.0
Amon-Ra St. Brown,WR,4,324.0,127.0,8,8.4,1,0.0
De'Von Achane,RB,5,294.0,113.0,9,12.4,1,3.0
James Cook III,RB,6,280.0,100.0,10,10.1,1,0.0
Ashton Jeanty,RB,7,279.0,99.0,11,21.8,2,11.0
Derrick Henry,RB,8,278.0,98.0,12,16.5,2,4.0
Justin Jefferson,WR,5,295.0,97.0,13,12.6,1,-0.0
CeeDee Lamb,WR,6,294.0,96.0,14,11.8,1,-2.0
Jeremiyah Love,RB,9,277.0,96.0,15,26.0,3,11.0
Breece Hall,RB,10,274.0,94.0,16,36.0,3,20.0
Saquon Barkley,RB,11,273.0,93.0,17,14.0,2,-3.0
Kenneth Walker III,RB,12,273.0,93.0,18,24.8,2,7.0
Chase Brown,RB,13,272.0,91.0,19,17.0,2,-2.0
Josh Allen,QB,1,371.0,84.0,20,19.2,2,-1.0
Omarion Hampton,RB,14,262.0,81.0,21,18.1,2,-3.0
Javonte Williams,RB,15,259.0,79.0,22,32.7,3,11.0
Trey McBride,TE,1,242.0,75.0,23,23.0,2,0.0
Brock Bowers,TE,2,241.0,74.0,24,23.9,2,-0.0
Drake London,WR,7,270.0,73.0,25,20.4,2,-5.0
Travis Etienne Jr.,RB,16,247.0,66.0,26,40.6,4,15.0
Rashee Rice,WR,8,259.0,62.0,27,29.4,3,2.0
Garrett Wilson,WR,9,250.0,53.0,28,37.1,4,9.0
Chris Olave,WR,10,250.0,53.0,29,29.4,3,0.0
A.J. Brown,WR,11,250.0,53.0,30,21.0,2,-9.0
Kyren Williams,RB,17,232.0,52.0,31,35.0,3,4.0
Nico Collins,WR,12,248.0,51.0,32,25.7,3,-6.0
Cam Skattebo,RB,18,227.0,47.0,33,45.0,4,12.0
Malik Nabers,WR,13,244.0,47.0,34,35.0,3,1.0
Quinshon Judkins,RB,19,227.0,47.0,35,48.5,4,14.0
Tyler Warren,TE,3,211.0,44.0,36,52.1,5,16.0
George Pickens,WR,14,239.0,42.0,37,28.2,3,-9.0
DeVonta Smith,WR,15,239.0,42.0,38,36.6,3,-1.0
Zay Flowers,WR,16,238.0,41.0,39,44.1,4,5.0
Colston Loveland,TE,4,207.0,40.0,40,42.4,4,2.0
Tetairoa McMillan,WR,17,236.0,39.0,41,42.2,4,1.0
Lamar Jackson,QB,2,323.0,36.0,42,34.6,3,-7.0
Davante Adams,WR,18,232.0,35.0,43,46.1,4,3.0
Drake Maye,QB,3,320.0,34.0,44,47.2,4,3.0
Jalen Hurts,QB,4,320.0,34.0,45,54.7,5,10.0
Emeka Egbuka,WR,19,229.0,32.0,46,44.8,4,-1.0
Jayden Daniels,QB,5,317.0,31.0,47,53.1,5,6.0
D'Andre Swift,RB,20,210.0,30.0,48,51.6,5,4.0
Texans D/ST,DST,1,119.0,28.0,49,93.1,8,44.0
Broncos D/ST,DST,2,119.0,28.0,50,99.7,9,50.0
Brandon Aubrey,K,1,171.0,27.0,51,84.5,7,34.0
Rams D/ST,DST,3,118.0,27.0,52,102.3,9,50.0
Bucky Irving,RB,21,207.0,27.0,53,56.8,5,4.0
George Kittle,TE,5,193.0,27.0,54,73.0,6,19.0
Steelers D/ST,DST,4,117.0,26.0,55,122.6,11,68.0
Bhayshul Tuten,RB,22,206.0,26.0,56,61.1,6,5.0
Ladd McConkey,WR,20,221.0,24.0,57,45.8,4,-11.0
Rhamondre Stevenson,RB,23,203.0,23.0,58,78.1,7,20.0
Seahawks D/ST,DST,5,114.0,23.0,59,113.5,10,54.0
Sam LaPorta,TE,6,189.0,22.0,60,74.0,7,14.0
Harold Fannin Jr.,TE,7,189.0,22.0,61,70.5,6,10.0
Ravens D/ST,DST,6,113.0,22.0,62,134.4,12,72.0
Tee Higgins,WR,21,219.0,22.0,63,51.1,5,-12.0
Terry McLaurin,WR,22,218.0,21.0,64,60.9,5,-3.0
David Montgomery,RB,24,200.0,19.0,65,61.4,6,-4.0
Kyle Pitts Sr.,TE,8,185.0,19.0,66,68.7,6,3.0
Joe Burrow,QB,6,304.0,18.0,67,53.6,5,-13.0
TreVeyon Henderson,RB,25,198.0,18.0,68,77.4,7,9.0
Cameron Dicker,K,2,162.0,18.0,69,112.8,10,44.0
Rome Odunze,WR,23,214.0,16.0,70,65.1,6,-5.0
Jaylen Waddle,WR,24,213.0,16.0,71,52.1,5,-19.0
Harrison Mevis,K,3,159.0,15.0,72,135.2,12,63.0
Jason Myers,K,4,159.0,14.0,73,115.2,10,42.0
Jadarian Price,RB,26,194.0,14.0,74,66.8,6,-7.0
Jaylen Warren,RB,27,194.0,14.0,75,86.4,8,11.0
Ka'imi Fairbairn,K,5,158.0,13.0,76,124.3,11,48.0
Jaxson Dart,QB,7,300.0,13.0,77,83.3,7,6.0
DJ Moore,WR,25,210.0,13.0,78,60.2,5,-18.0
Lions D/ST,DST,7,104.0,13.0,79,155.4,13,76.0
Eagles D/ST,DST,8,103.0,12.0,80,138.3,12,58.0
Jameson Williams,WR,26,209.0,11.0,81,64.1,6,-17.0
Eddy Pineiro,K,6,155.0,11.0,82,141.7,12,60.0
Travis Kelce,TE,9,177.0,11.0,83,94.5,8,12.0
Dallas Goedert,TE,10,177.0,10.0,84,103.3,9,19.0
Browns D/ST,DST,9,101.0,10.0,85,158.5,14,74.0
Luther Burden III,WR,27,207.0,10.0,86,74.8,7,-11.0
Bo Nix,QB,8,296.0,10.0,87,103.5,9,16.0
Rico Dowdle,RB,28,188.0,8.0,88,95.0,8,7.0
Patriots D/ST,DST,10,98.0,7.0,89,154.0,13,65.0
Courtland Sutton,WR,28,204.0,7.0,90,81.2,7,-9.0
Matthew Stafford,QB,9,293.0,7.0,91,93.3,8,2.0
Brock Purdy,QB,10,292.0,6.0,92,110.3,10,18.0
Tucker Kraft,TE,11,172.0,6.0,93,91.0,8,-2.0
Chiefs D/ST,DST,11,96.0,5.0,94,166.5,14,72.0
Tony Pollard,RB,29,186.0,5.0,95,87.2,8,-8.0
Carnell Tate,WR,29,202.0,5.0,96,77.8,7,-18.0
Patrick Mahomes,QB,11,291.0,5.0,97,108.9,9,12.0
Harrison Butker,K,7,149.0,4.0,98,144.3,12,46.0
Trevor Lawrence,QB,12,290.0,3.0,99,101.2,9,2.0
Cam Little,K,8,147.0,3.0,100,141.1,12,41.0
Mark Andrews,TE,12,169.0,2.0,101,126.6,11,26.0
Jake Bates,K,9,146.0,2.0,102,157.0,14,55.0
Tyler Loop,K,10,146.0,2.0,103,165.7,14,63.0
Cairo Santos,K,11,144.0,0.0,104,169.1,15,65.0
Michael Pittman Jr.,WR,30,197.0,0.0,107,89.5,8,-18.0
Dak Prescott,QB,13,286.0,0.0,107,71.8,6,-35.0
Packers D/ST,DST,12,91.0,0.0,107,169.5,15,62.0
Jake Ferguson,TE,13,167.0,0.0,107,111.0,10,4.0
Chuba Hubbard,RB,30,180.0,0.0,107,108.1,9,1.0
Trey Smack,K,12,144.0,0.0,107,168.2,14,61.0
Buccaneers D/ST,DST,13,91.0,-0.0,111,170.6,15,60.0
Jonathon Brooks,RB,31,180.0,-0.0,112,104.1,9,-8.0
Chargers D/ST,DST,14,91.0,-1.0,113,165.7,14,53.0
DK Metcalf,WR,31,196.0,-1.0,114,85.2,8,-29.0
Jets D/ST,DST,15,90.0,-2.0,115,170.3,15,55.0
Chris Boswell,K,13,143.0,-2.0,116,164.8,14,49.0
Will Reichard,K,14,142.0,-2.0,117,167.9,14,51.0
Chase McLaughlin,K,15,142.0,-2.0,118,170.3,15,52.0
Aaron Jones Sr.,RB,32,178.0,-2.0,119,113.8,10,-5.0
Kenny Gainwell,RB,33,178.0,-2.0,120,99.9,9,-20.0
Evan McPherson,K,16,142.0,-2.0,121,169.3,15,48.0
Justin Herbert,QB,14,284.0,-3.0,122,85.4,8,-37.0
Kyler Murray,QB,15,283.0,-3.0,123,137.2,12,14.0
Nick Folk,K,17,141.0,-3.0,124,170.3,15,46.0
49ers D/ST,DST,16,88.0,-3.0,125,169.1,15,44.0
Marvin Harrison Jr.,WR,32,194.0,-4.0,126,78.5,7,-48.0
Jaguars D/ST,DST,17,87.0,-4.0,127,168.0,14,41.0
Caleb Williams,QB,16,282.0,-4.0,128,88.9,8,-39.0
Spencer Shrader,K,18,140.0,-5.0,129,170.0,15,41.0
Kyle Monangai,RB,34,175.0,-5.0,130,123.6,11,-6.0
J.K. Dobbins,RB,35,175.0,-5.0,131,111.5,10,-20.0
Cowboys D/ST,DST,18,85.0,-6.0,132,167.5,14,36.0
Colts D/ST,DST,19,85.0,-6.0,133,170.1,15,37.0
Giants D/ST,DST,20,85.0,-6.0,134,169.7,15,36.0
Vikings D/ST,DST,21,85.0,-6.0,135,169.0,15,34.0
Daniel Carlson,K,19,138.0,-6.0,136,170.2,15,34.0
Titans D/ST,DST,22,85.0,-7.0,137,169.9,15,33.0
Tyler Bass,K,20,137.0,-7.0,138,169.6,15,32.0
Bears D/ST,DST,23,83.0,-8.0,139,169.6,15,31.0
T.J. Hockenson,TE,14,159.0,-8.0,140,152.7,13,13.0
Matthew Golden,WR,33,189.0,-8.0,141,112.9,10,-28.0
Christian Watson,WR,34,189.0,-8.0,142,88.5,8,-54.0
Wil Lutz,K,21,136.0,-9.0,143,169.6,15,27.0
Jake Elliott,K,22,136.0,-9.0,144,169.1,15,25.0
Saints D/ST,DST,24,81.0,-10.0,145,170.6,15,26.0
Parker Washington,WR,35,187.0,-10.0,146,89.6,8,-56.0
Bengals D/ST,DST,25,81.0,-10.0,147,169.8,15,23.0
Drew Stevens,K,23,134.0,-11.0,148,170.0,15,22.0
Dalton Kincaid,TE,15,156.0,-11.0,149,130.8,11,-18.0
Dominic Zvada,K,24,133.0,-11.0,150,169.8,15,20.0
Isaiah Likely,TE,16,155.0,-11.0,151,122.2,11,-29.0
Alec Pierce,WR,36,185.0,-12.0,152,108.1,9,-44.0
Panthers D/ST,DST,26,78.0,-13.0,153,169.8,15,17.0
Commanders D/ST,DST,27,76.0,-15.0,154,169.8,15,16.0
Andy Borregales,K,25,129.0,-15.0,155,170.1,15,15.0
Jakobi Meyers,WR,37,182.0,-15.0,156,122.5,11,-34.0
Josh Jacobs,RB,36,164.0,-16.0,157,77.4,7,-80.0
Rachaad White,RB,37,164.0,-16.0,158,125.6,11,-32.0
Hunter Henry,TE,17,150.0,-16.0,159,153.2,13,-6.0
Riley Patterson,K,26,128.0,-17.0,160,169.9,15,10.0
Jared Goff,QB,17,269.0,-17.0,161,136.6,12,-24.0
Mike Evans,WR,38,180.0,-17.0,162,83.7,7,-78.0
Bills D/ST,DST,28,73.0,-19.0,163,169.1,15,6.0
Matt Gay,K,27,125.0,-19.0,164,169.6,15,6.0
Daniel Jones,QB,18,267.0,-20.0,165,160.2,14,-5.0
Juwan Johnson,TE,18,147.0,-20.0,166,157.6,14,-8.0
Ryan Fitzgerald,K,28,124.0,-20.0,167,169.8,15,3.0
Kenyon Sadiq,TE,19,146.0,-20.0,168,165.2,14,-3.0
Brian Thomas Jr.,WR,39,177.0,-21.0,169,113.6,10,-55.0
Tyler Shough,QB,19,266.0,-21.0,170,152.4,13,-18.0
Michael Wilson,WR,40,176.0,-21.0,171,102.7,9,-68.0
Raiders D/ST,DST,29,70.0,-21.0,172,169.8,15,-2.0
Blake Corum,RB,38,159.0,-21.0,173,125.5,11,-48.0
Joey Slye,K,29,123.0,-21.0,174,169.8,15,-4.0
Jacory Croskey-Merritt,RB,39,159.0,-21.0,175,136.1,12,-39.0
Baker Mayfield,QB,20,265.0,-21.0,176,146.4,13,-30.0
Falcons D/ST,DST,30,70.0,-22.0,177,170.0,15,-7.0
Wan'Dale Robinson,WR,41,175.0,-22.0,178,112.9,10,-65.0
Jordan Love,QB,21,263.0,-23.0,179,155.2,13,-24.0
Andre Szmyt,K,30,122.0,-23.0,180,169.9,15,-10.0
Chad Ryland,K,31,122.0,-23.0,181,169.9,15,-11.0
Jayden Reed,WR,42,174.0,-23.0,182,139.5,12,-42.0
Brenton Strange,TE,20,143.0,-24.0,183,167.9,14,-15.0
Stefon Diggs,WR,43,173.0,-24.0,184,101.6,9,-82.0
Xavier Worthy,WR,44,173.0,-24.0,185,130.9,11,-54.0
Blake Grupe,K,32,120.0,-24.0,186,170.0,15,-16.0
Khalil Shakir,WR,45,171.0,-26.0,187,140.3,12,-47.0
Tyjae Spears,RB,40,154.0,-26.0,188,146.6,13,-41.0
Jordan Addison,WR,46,171.0,-26.0,189,121.3,11,-68.0
Jordan Mason,RB,41,152.0,-28.0,190,139.0,12,-51.0
Cardinals D/ST,DST,31,62.0,-29.0,191,169.9,15,-21.0
Pat Freiermuth,TE,21,136.0,-30.0,192,169.7,15,-22.0
Terrance Ferguson,TE,22,136.0,-31.0,193,168.6,14,-24.0
RJ Harvey,RB,42,149.0,-31.0,194,125.6,11,-68.0
Quentin Johnston,WR,47,165.0,-32.0,195,130.3,11,-65.0
Dalton Schultz,TE,23,133.0,-34.0,196,168.9,14,-27.0
Dolphins D/ST,DST,32,55.0,-36.0,197,169.7,15,-27.0
De'Zhaun Stribling,WR,48,160.0,-37.0,198,138.3,12,-60.0
Josh Downs,WR,49,158.0,-39.0,199,136.4,12,-63.0
Gunnar Helm,TE,24,127.0,-40.0,200,170.8,15,-29.0
Chris Godwin Jr.,WR,50,157.0,-40.0,201,121.7,11,-79.0
C.J. Stroud,QB,22,246.0,-40.0,202,165.4,14,-37.0
KC Concepcion,WR,51,156.0,-41.0,203,146.9,13,-56.0
Makai Lemon,WR,52,155.0,-42.0,204,132.4,11,-72.0
Sam Darnold,QB,23,243.0,-44.0,205,162.5,14,-42.0
MarShawn Lloyd,RB,43,135.0,-45.0,206,115.4,10,-91.0
Chig Okonkwo,TE,25,121.0,-46.0,207,170.2,15,-37.0
Zach Charbonnet,RB,44,134.0,-46.0,208,153.4,13,-55.0
Malik Willis,QB,24,240.0,-46.0,209,167.6,14,-41.0
Romeo Doubs,WR,53,151.0,-47.0,210,147.5,13,-62.0
Deebo Samuel Sr.,WR,54,150.0,-48.0,211,143.6,12,-67.0
Greg Dulcich,TE,26,119.0,-48.0,212,170.5,15,-42.0
Bryce Young,QB,25,238.0,-48.0,213,168.9,14,-44.0
Woody Marks,RB,45,132.0,-48.0,214,151.8,13,-62.0
Jalen Coker,WR,55,147.0,-50.0,215,154.3,13,-61.0
Darren Waller,TE,27,114.0,-52.0,216,170.4,15,-46.0
Rashid Shaheed,WR,56,144.0,-53.0,217,160.8,14,-56.0
AJ Barner,TE,28,114.0,-53.0,218,169.8,15,-48.0
Geno Smith,QB,26,233.0,-53.0,219,170.0,15,-49.0
Denzel Boston,WR,57,142.0,-55.0,220,169.2,15,-51.0
Jerry Jeudy,WR,58,140.0,-57.0,221,168.9,14,-52.0
Kayshon Boutte,WR,59,139.0,-58.0,222,170.6,15,-51.0
Tre Tucker,WR,60,138.0,-59.0,223,169.4,15,-54.0
Evan Engram,TE,29,106.0,-60.0,224,170.0,15,-54.0
Justice Hill,RB,46,120.0,-60.0,225,168.9,14,-56.0
Calvin Ridley,WR,61,135.0,-62.0,226,168.8,14,-57.0
David Njoku,TE,30,104.0,-62.0,227,169.7,15,-57.0
Jalen McMillan,WR,62,133.0,-64.0,228,163.7,14,-64.0
Cade Otton,TE,31,102.0,-64.0,229,170.3,15,-59.0
Jaylin Noel,WR,63,132.0,-66.0,230,171.8,15,-58.0
Cam Ward,QB,27,220.0,-67.0,231,169.2,15,-62.0
Alvin Kamara,RB,47,113.0,-67.0,232,161.6,14,-70.0
Aaron Rodgers,QB,28,219.0,-67.0,233,169.2,15,-64.0
Adonai Mitchell,WR,64,128.0,-69.0,234,171.3,15,-63.0
Mike Gesicki,TE,32,96.0,-70.0,235,170.2,15,-65.0
Jalen Nailor,WR,65,124.0,-73.0,236,171.2,15,-65.0
Keenan Allen,WR,66,124.0,-73.0,237,165.4,14,-72.0
Devaughn Vele,WR,67,123.0,-74.0,238,171.6,15,-66.0
Rashod Bateman,WR,68,122.0,-75.0,239,171.5,15,-68.0
Samaje Perine,RB,48,100.0,-80.0,240,171.1,15,-69.0
Jauan Jennings,WR,69,115.0,-82.0,241,171.2,15,-70.0
Malik Washington,WR,70,114.0,-83.0,242,170.1,15,-72.0
Caleb Douglas,WR,71,113.0,-84.0,243,170.9,15,-72.0
Michael Mayer,TE,33,81.0,-86.0,244,170.2,15,-74.0
Brian Robinson Jr.,RB,49,94.0,-86.0,245,167.9,14,-77.0
Keaton Mitchell,RB,50,94.0,-86.0,246,169.3,15,-77.0
Ja'Kobi Lane,WR,72,110.0,-87.0,247,168.9,14,-78.0
Jacoby Brissett,QB,29,199.0,-88.0,248,169.9,15,-78.0
Tyler Allgeier,RB,51,93.0,-88.0,249,162.8,14,-86.0
Germie Bernard,WR,73,109.0,-88.0,250,171.3,15,-79.0
Dontayvion Wicks,WR,74,109.0,-89.0,251,171.0,15,-80.0
Oronde Gadsden,TE,34,77.0,-89.0,252,170.2,15,-82.0
Colby Parkinson,TE,35,75.0,-91.0,253,170.2,15,-83.0
Dylan Sampson,RB,52,88.0,-92.0,254,169.2,15,-85.0
Travis Hunter,WR,75,104.0,-94.0,255,118.7,10,-136.0
Darnell Washington,TE,36,72.0,-94.0,256,169.8,15,-86.0
Ty Johnson,RB,53,85.0,-95.0,257,170.8,15,-86.0
Cooper Kupp,WR,76,102.0,-96.0,258,169.4,15,-89.0
Erick All Jr.,TE,37,71.0,-96.0,259,170.0,15,-89.0
Mason Taylor,TE,38,70.0,-96.0,260,170.0,15,-90.0
Jordyn Tyson,WR,77,100.0,-97.0,261,168.0,14,-93.0
Dawson Knox,TE,39,68.0,-98.0,262,169.8,15,-92.0
Fernando Mendoza,QB,30,188.0,-99.0,263,168.6,14,-94.0
Najee Harris,RB,54,78.0,-102.0,264,170.2,15,-94.0
Xavier Legette,WR,78,94.0,-103.0,265,170.7,15,-94.0
Braelon Allen,RB,55,77.0,-103.0,266,171.0,15,-95.0
Jahan Dotson,WR,79,93.0,-104.0,267,170.7,15,-96.0
Theo Johnson,TE,40,62.0,-105.0,268,170.1,15,-98.0
Jonah Coleman,RB,56,74.0,-106.0,269,165.9,14,-103.0
Noah Gray,TE,41,61.0,-106.0,270,169.9,15,-100.0
Elijah Arroyo,TE,42,61.0,-106.0,271,169.9,15,-101.0
Xavier Hutchinson,WR,80,91.0,-106.0,272,170.3,15,-102.0
Tre' Harris,WR,81,90.0,-107.0,273,171.2,15,-102.0
Jalen Tolbert,WR,82,89.0,-108.0,274,170.6,15,-103.0
Ryan Flournoy,WR,83,89.0,-108.0,275,171.1,15,-104.0
Chris Rodriguez Jr.,RB,57,72.0,-108.0,276,164.4,14,-112.0
Chris Bell,WR,84,88.0,-109.0,277,170.6,15,-106.0
Isiah Pacheco,RB,58,71.0,-109.0,278,160.8,14,-117.0
Chris Brooks,RB,59,71.0,-109.0,279,170.4,15,-109.0
Omar Cooper Jr.,WR,85,88.0,-109.0,280,171.1,15,-109.0
Malachi Fields,WR,86,86.0,-111.0,281,170.5,15,-110.0
Cole Kmet,TE,43,54.0,-113.0,282,169.8,15,-112.0
Mike Washington Jr.,RB,60,67.0,-113.0,283,163.5,14,-120.0
Zachariah Branch,WR,87,83.0,-115.0,284,170.8,15,-113.0
DeMario Douglas,WR,88,82.0,-116.0,285,170.5,15,-114.0
Tank Bigsby,RB,61,64.0,-116.0,286,169.7,15,-116.0
Darius Slayton,WR,89,80.0,-117.0,287,170.5,15,-116.0
Drew Sample,TE,44,49.0,-118.0,288,170.0,15,-118.0
Antonio Williams,WR,90,78.0,-120.0,289,170.4,15,-119.0
Kaelon Black,RB,62,60.0,-120.0,290,170.3,15,-120.0
Tyquan Thornton,WR,91,77.0,-120.0,291,170.3,15,-121.0
Eli Raridon,TE,45,46.0,-120.0,292,170.0,15,-122.0
Brashard Smith,RB,63,60.0,-121.0,293,170.3,15,-123.0
Keon Coleman,WR,92,76.0,-122.0,294,170.2,15,-124.0
Malik Davis,RB,64,58.0,-123.0,295,170.3,15,-125.0
Tommy Tremble,TE,46,44.0,-123.0,296,170.0,15,-126.0
Austin Hooper,TE,47,43.0,-123.0,297,170.0,15,-127.0
Elijah Higgins,TE,48,43.0,-124.0,298,169.9,15,-128.0
Isaac TeSlaa,WR,93,73.0,-124.0,299,170.3,15,-129.0
Ja'Tavion Sanders,TE,49,42.0,-124.0,300,169.9,15,-130.0
Pat Bryant,WR,94,73.0,-124.0,301,170.4,15,-131.0
Jonnu Smith,TE,50,41.0,-126.0,302,170.0,15,-132.0
Emmett Johnson,RB,65,54.0,-126.0,303,169.9,15,-133.0
Will Kacmarek,TE,51,40.0,-127.0,304,170.0,15,-134.0
Noah Fant,TE,52,40.0,-127.0,305,170.0,15,-135.0
Marvin Mims Jr.,WR,95,70.0,-127.0,306,170.2,15,-136.0
Josh Oliver,TE,53,39.0,-128.0,307,170.0,15,-137.0
Adam Trautman,TE,54,38.0,-128.0,308,170.0,15,-138.0
Tyler Higbee,TE,55,38.0,-129.0,309,169.9,15,-139.0
Isaiah Davis,RB,66,51.0,-129.0,310,170.5,15,-140.0
Andrei Iosivas,WR,96,68.0,-130.0,311,170.2,15,-141.0
Kevin Coleman Jr.,WR,97,67.0,-130.0,312,170.1,15,-142.0
Charlie Kolar,TE,56,36.0,-130.0,313,170.0,15,-143.0
KaVontae Turpin,WR,98,66.0,-131.0,314,169.8,15,-144.0
Jacob Saylors,RB,67,49.0,-131.0,315,170.1,15,-145.0
Jack Bech,WR,99,66.0,-131.0,316,170.2,15,-146.0
Tory Horton,WR,100,65.0,-132.0,317,170.2,15,-147.0
Cade Stover,TE,57,35.0,-132.0,318,170.0,15,-148.0
John Bates,TE,58,35.0,-132.0,319,170.0,15,-149.0
Ted Hurst III,WR,101,65.0,-132.0,320,170.2,15,-150.0
Darnell Mooney,WR,102,64.0,-133.0,321,170.4,15,-151.0
Jaylen Wright,RB,68,46.0,-134.0,322,170.7,15,-151.0
Kyle Juszczyk,RB,69,45.0,-136.0,323,170.0,15,-153.0
LeQuint Allen Jr.,RB,70,44.0,-136.0,324,170.4,15,-154.0
Eli Stowers,TE,59,29.0,-138.0,325,170.0,15,-155.0
George Holani,RB,71,41.0,-139.0,326,170.3,15,-156.0
Tyrone Tracy Jr.,RB,72,41.0,-139.0,327,170.4,15,-157.0
Mack Hollins,WR,103,57.0,-141.0,328,170.1,15,-158.0
Malik Benson,WR,104,57.0,-141.0,329,170.0,15,-159.0
Ray Davis,RB,73,38.0,-142.0,330,171.0,15,-159.0
Sean Tucker,RB,74,37.0,-143.0,331,170.4,15,-161.0
Shedeur Sanders,QB,31,143.0,-144.0,332,169.9,15,-162.0
Seth McGowan,RB,75,36.0,-144.0,333,170.3,15,-163.0
Kimani Vidal,RB,76,36.0,-144.0,334,171.0,15,-163.0
Cyrus Allen,WR,105,53.0,-144.0,335,169.8,15,-165.0
Jake Tonges,TE,60,20.0,-146.0,336,170.1,15,-166.0
Ollie Gordon II,RB,77,34.0,-146.0,337,170.7,15,-166.0
Kyle Williams,WR,106,51.0,-146.0,338,170.0,15,-168.0
Troy Franklin,WR,107,51.0,-146.0,339,170.0,15,-169.0
Joshua Palmer,WR,108,50.0,-147.0,340,170.0,15,-170.0
Kendrick Bourne,WR,109,50.0,-147.0,341,170.0,15,-171.0
Kalif Raymond,WR,110,48.0,-149.0,342,170.0,15,-172.0
Dyami Brown,WR,111,47.0,-150.0,343,170.0,15,-173.0
Jordan James,RB,78,29.0,-151.0,344,170.7,15,-173.0
Will Shipley,RB,79,28.0,-152.0,345,170.2,15,-175.0
Treylon Burks,WR,112,45.0,-152.0,346,170.0,15,-176.0
Devontez Walker,WR,113,44.0,-153.0,347,170.0,15,-177.0
